time,value
2.2882577E+01,1.61816E+00
2.2882760E+01,1.64746E+00
2.2882943E+01,1.71582E+00
2.2883127E+01,1.68652E+00
2.2883310E+01,1.66699E+00
2.2883493E+01,1.54980E+00
2.2883677E+01,1.62793E+00
2.2883860E+01,1.66699E+00
2.2884043E+01,1.62793E+00
2.2884226E+01,1.65723E+00
2.2884410E+01,1.64746E+00
2.2884593E+01,1.72559E+00
2.2884776E+01,1.69629E+00
2.2884960E+01,1.58887E+00
2.2885143E+01,1.69629E+00
2.2885326E+01,1.61816E+00
2.2885510E+01,1.59863E+00
2.2885693E+01,1.67676E+00
2.2885876E+01,1.67676E+00
2.2886059E+01,1.57910E+00
2.2886243E+01,1.67676E+00
2.2886426E+01,1.66699E+00
2.2886609E+01,1.62793E+00
2.2886793E+01,1.61816E+00
2.2886976E+01,1.64746E+00
2.2887159E+01,1.60840E+00
2.2887343E+01,1.63770E+00
2.2887526E+01,1.68652E+00
2.2887709E+01,1.66699E+00
2.2887892E+01,1.66699E+00
2.2888076E+01,1.65723E+00
2.2888259E+01,1.69629E+00
2.2888442E+01,1.68652E+00
2.2888626E+01,1.61816E+00
